track_name,artist,album,release_date,popularity,spotify_url,id,duration_min
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2/9/2018,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.87
Starboy,The Weeknd,Starboy,11/25/2016,90,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,3.84
Señorita,Shawn Mendes,Señorita,6/21/2019,80,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,3.18
Heat Waves,Glass Animals,Dreamland,8/7/2020,87,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,3USxtqRwSYz57Ewm6wWRMp,3.98
Let Me Love You,DJ Snake,Encore,8/5/2016,87,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0lYBSQXN6rCTvUZvg9S0lU,3.43
La La La,Naughty Boy,La La La,1/1/2013,77,https://open.spotify.com/track/52gvlDnre9craz9dKGObp8,52gvlDnre9craz9dKGObp8,3.68
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,6/9/2017,73,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX,0yc6Gst2xkRu0eMLeRMGCX,4.84
Good For You,Selena Gomez,Revival (Deluxe),10/9/2015,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.69
Baby,Justin Bieber,My World 2.0,1/1/2010,84,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,6epn3r7S14KUqlReYr77hA,3.57
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),4/20/2017,88,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,7JJmb5XwzOO8jgpou264Ml,3.32
Believer,Imagine Dragons,Evolve,6/23/2017,88,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,3.41
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),2/9/2018,81,https://open.spotify.com/track/0Cy7wt6IlRfBPHXXjmZbcP,0Cy7wt6IlRfBPHXXjmZbcP,4.23
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,1/1/2012,85,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,3BJe4B8zGnqEdQPMvfVjuS,4.42
Treat You Better,Shawn Mendes,Illuminate,4/20/2017,86,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,3QGsuHI8jO1Rx4JWLUh9jd,3.13
Blinding Lights,The Weeknd,Blinding Lights,9/11/2020,63,https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07,6qYkmqFsXbj8CQjAdbYz07,3.33
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),5/28/2021,68,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,6FvSS3Goz7OC8oCC2eWqe8,2.82
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,83,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,2.63
Despacito,Luis Fonsi,VIDA,2/1/2019,82,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,3.82
Sorry,Justin Bieber,Purpose (Deluxe),11/13/2015,86,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF,3.35
Die For You,The Weeknd,Starboy,11/25/2016,81,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,2Ch7LmS7r2Gy2kc64wv3Bz,4.34
No Lie,Sean Paul,Mad Love The Prequel,6/29/2018,84,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,48QmG1dfvMuYLxMPt7KSRA,3.69
Mockingbird,Eminem,Encore (Deluxe Version),11/12/2004,87,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,561jH07mF1jHuk7KlaeF0s,4.18
Ransom,Lil Tecca,We Love You Tecca,8/30/2019,87,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1lOe9qE0vR9zwWQAOk6CoO,2.19
Lover,Taylor Swift,Lover,8/23/2019,86,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,1dGr1c8CrMLDpV6mPbImSI,3.69
Save Your Tears,The Weeknd,After Hours,3/20/2020,87,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,5QO79kh1waicV47BqGRL3g,3.59
On The Floor,Jennifer Lopez,Love?,4/29/2011,83,https://open.spotify.com/track/3C0nOe05EIt1390bVABLyN,3C0nOe05EIt1390bVABLyN,4.75
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,1/1/2012,79,https://open.spotify.com/track/2vtmY2mSccRzKGjtcHSzI3,2vtmY2mSccRzKGjtcHSzI3,3.72
Harleys In Hawaii,Katy Perry,Harleys In Hawaii,10/16/2019,72,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR,5nCthAh3jt4xKuLJAifAaR,3.10
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",9/28/2018,73,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,3.54
One Dance,Drake,Views,5/6/2016,62,https://open.spotify.com/track/5ZKG94fnjiuMH5yrC5S9lS,5ZKG94fnjiuMH5yrC5S9lS,2.90
Counting Stars,OneRepublic,Native,1/1/2013,88,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,4.29
lovely (with Khalid),Billie Eilish,lovely (with Khalid),4/19/2018,89,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,3.34
Reminder,The Weeknd,Starboy,11/25/2016,84,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,37F0uwRSrdzkBiuj0D5UHI,3.65
Without Me,Eminem,The Eminem Show,5/26/2002,89,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk,4.84
Cruel Summer,Taylor Swift,Lover,8/23/2019,90,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr,2.97
The Nights,Avicii,The Days / Nights,1/1/2014,86,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,0ct6r3EGTcMLPtrXHDvVjc,2.94
Animals,Maroon 5,V (Asia Tour Edition),5/18/2015,74,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5,3h4T9Bg8OVSUYa6danHeH5,3.85
After Hours,The Weeknd,After Hours,3/20/2020,83,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,2p8IUWQDrpjuFltbdgLOag,6.02
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,6/9/2017,69,https://open.spotify.com/track/0SpkyS1Q4MD8GaVcP5YjT4,0SpkyS1Q4MD8GaVcP5YjT4,3.59
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,5/19/2023,86,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe,6GGtHZgBycCgGBUhZo81xe,3.49
Memories,Maroon 5,JORDI (Deluxe),6/11/2021,85,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,4cktbXiXOapiLBMprHFErI,3.16
Blank Space,Taylor Swift,1989 (Deluxe),1/1/2014,83,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,1u8c2t2Cy7UBoG4ArRcF5g,3.86
Bones,Imagine Dragons,Bones,3/11/2022,77,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,0HqZX76SFLDz2aW8aiqi7G,2.75
K.,Cigarettes After Sex,K.,11/15/2016,41,https://open.spotify.com/track/3Mlhgm39yBpuCwyZB8d8Md,3Mlhgm39yBpuCwyZB8d8Md,5.33
Danza Kuduro,Don Omar,Meet The Orphans,1/1/2010,79,https://open.spotify.com/track/6DXLO8LndZMVOHM0wNbpzg,6DXLO8LndZMVOHM0wNbpzg,3.31
Ghost,Justin Bieber,Justice,3/19/2021,85,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,6I3mqTwhRpn34SLVafSH7G,2.55
Circles,Post Malone,Hollywood's Bleeding,9/6/2019,87,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,3.59
Thunder,Imagine Dragons,Evolve,6/23/2017,86,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,3.12
Cry,Cigarettes After Sex,Cry,10/25/2019,75,https://open.spotify.com/track/3p4hRhMcb6ch8OLtATMaLw,3p4hRhMcb6ch8OLtATMaLw,4.28
God's Plan,Drake,Scorpion,6/29/2018,84,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,3.32
Young And Beautiful,Lana Del Rey,Young And Beautiful,1/1/2013,88,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9,2nMeu6UenVvwUktBCpLMK9,3.93
Call Out My Name,The Weeknd,"My Dear Melancholy,",3/30/2018,86,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,09mEdoA6zrmBPgTEN5qXmN,3.81
Demons,Imagine Dragons,Night Visions,9/4/2012,85,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,5qaEfEh1AtSdrdrByCP7qR,2.96
Hurts So Good,Astrid S,Astrid S,5/20/2016,70,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6,46ydq5g3k17iLJs3qMDvO6,3.48
One Love,Blue,One Love,2002,67,https://open.spotify.com/track/2W5acFzXf5FrktecuD30Or,2W5acFzXf5FrktecuD30Or,3.45
The Hills,The Weeknd,Beauty Behind The Madness,8/28/2015,87,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,7fBv7CLKzipRk6EC6TWHOB,4.04
Arcade,Duncan Laurence,Arcade,3/7/2019,77,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,1Xi84slp6FryDSCbzq4UCD,3.06
Love Yourself,Justin Bieber,Purpose (Deluxe),11/13/2015,86,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,50kpGaPAhYJ3sGmk6vplg0,3.90
Hope,XXXTENTACION,?,3/16/2018,84,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,2ZRo7axmMPeSVUvDbGkJah,1.85
Elastic Heart,Sia,1000 Forms Of Fear,7/4/2014,81,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz,6kwAbEjseqBob48jCus7Sz,4.29
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",11/28/2005,88,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,3.63
Summer Love,Justin Timberlake,FutureSex/LoveSounds,9/12/2006,71,https://open.spotify.com/track/1MBM7CyZbwJpVbbZJnHHRg,1MBM7CyZbwJpVbbZJnHHRg,4.22
I Want It That Way,Backstreet Boys,The New Best Of (All Hits & Remixes) 2016,6/3/2016,0,https://open.spotify.com/track/7v0kHF6tXT8ekVrJAbxpph,7v0kHF6tXT8ekVrJAbxpph,3.55
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,9/12/2006,77,https://open.spotify.com/track/3pD0f7hSJg2XdQ6udw5Tey,3pD0f7hSJg2XdQ6udw5Tey,7.48
Mirrors,Justin Timberlake,The 20/20 Experience - The Complete Experience,9/27/2013,0,https://open.spotify.com/track/3V2xoX4Ap0ZX9WN8ckSlD4,3V2xoX4Ap0ZX9WN8ckSlD4,8.07
Cry Me a River,Justin Timberlake,Justified,11/4/2002,78,https://open.spotify.com/track/7Lf7oSEVdzZqTA0kEDSlS5,7Lf7oSEVdzZqTA0kEDSlS5,4.81
Unconditionally,Katy Perry,PRISM,1/1/2013,0,https://open.spotify.com/track/6OaYLWpreRh9EoLYwrS75P,6OaYLWpreRh9EoLYwrS75P,3.81
Buttons,The Pussycat Dolls,PCD Tour Edition (International Tour Edition),1/1/2005,0,https://open.spotify.com/track/7ev8HQ5RrmyzgOH0R05ZY9,7ev8HQ5RrmyzgOH0R05ZY9,3.76
The One That Got Away,Katy Perry,Teenage Dream: The Complete Confection,3/12/2012,74,https://open.spotify.com/track/3oL3XRtkP1WVbMxf7dtTdu,3oL3XRtkP1WVbMxf7dtTdu,3.79
E.T.,Katy Perry,Teenage Dream: The Complete Confection,3/12/2012,71,https://open.spotify.com/track/4z8ssgZfs5TzKiO8HaGWXO,4z8ssgZfs5TzKiO8HaGWXO,3.44
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,3/31/2007,68,https://open.spotify.com/track/5i66xrvSh1MjjyDd6zcwgj,5i66xrvSh1MjjyDd6zcwgj,4.60
Don't Phunk With My Heart,Black Eyed Peas,Monkey Business (International Version),1/1/2005,0,https://open.spotify.com/track/75fscz2R984pg4bmyP1Q53,75fscz2R984pg4bmyP1Q53,4.00
My Humps,Black Eyed Peas,Monkey Business (International Version),1/1/2005,0,https://open.spotify.com/track/2tVouQintSo2ffjVgnv6Sh,2tVouQintSo2ffjVgnv6Sh,5.45
Low (feat. T-Pain),Flo Rida,Mail on Sunday,3/17/2008,85,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,0CAfXk7DXMnon4gLudAp7J,3.86
Halo,Beyoncé,I AM...SASHA FIERCE,11/14/2008,69,https://open.spotify.com/track/3ERa3mEeOnrh2Mc47qM6T1,3ERa3mEeOnrh2Mc47qM6T1,4.36
TiK ToK,Kesha,Animal + Cannibal (Deluxe Edition),11/19/2010,0,https://open.spotify.com/track/4srpHYFHKjVGRDNHqRpWxi,4srpHYFHKjVGRDNHqRpWxi,3.33
Grenade,Bruno Mars,Doo-Wops & Hooligans,5/11/2010,80,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ,2tJulUYLDKOg9XrtVkMgcJ,3.70
Payphone,Maroon 5,Payphone,1/1/2012,0,https://open.spotify.com/track/0iyEaciAmtiv8xMkBg97Fy,0iyEaciAmtiv8xMkBg97Fy,3.86
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,11/11/2011,83,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,0qOnSQQF0yzuPWsXrQ9paz,3.52
Bang Bang,Jessie J,My Everything (Deluxe),8/22/2014,0,https://open.spotify.com/track/3oEekS4xhmFQ88ieCVTZ7H,3oEekS4xhmFQ88ieCVTZ7H,3.32
Dangerous Woman,Ariana Grande,Dangerous Woman,5/20/2016,6,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi,2h1IPjP471JJRSShTHRUhi,3.93
